Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
DOCK4,Dedicator Of Cytokinesis 4,Protein Coding,Q8N1I0,54,GC07M111726,30.28604126,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK4
ATP10A,ATPase Phospholipid Transporting 10A (Putative),Protein Coding,O60312,55,GC15M027697,30.2797184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP10A
TLN1,Talin 1,Protein Coding,Q9Y490,56,GC09M035696,30.27662086,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLN1
SLC25A26,Solute Carrier Family 25 Member 26,Protein Coding,Q70HW3,50,GC03P066120,30.27349663,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A26
PNPLA3,Patatin Like Phospholipase Domain Containing 3,Protein Coding,Q9NST1,55,GC22P043923,30.26519775,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3
GPBAR1,G Protein-Coupled Bile Acid Receptor 1,Protein Coding,Q8TDU6,52,GC02P218259,30.2430954,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPBAR1
CARTPT,CART Prepropeptide,Protein Coding,Q16568,55,GC05P071719,30.21900749,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARTPT
CCNK,Cyclin K,Protein Coding,O75909,55,GC14P099483,30.18780899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNK
SCYL2,SCY1 Like Pseudokinase 2,Protein Coding,Q6P3W7,48,GC12P100267,30.18153191,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCYL2
TNK2,Tyrosine Kinase Non Receptor 2,Protein Coding,Q07912,60,GC03M195863,30.16582298,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK2
SIRPA,Signal Regulatory Protein Alpha,Protein Coding,P78324,58,GC20P001894,30.16249466,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRPA
SLC5A2,Solute Carrier Family 5 Member 2,Protein Coding,P31639,60,GC16P096791,30.12488174,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A2
TFPI,Tissue Factor Pathway Inhibitor,Protein Coding,P10646,58,GC02M187464,30.06531525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPI
CALB2,Calbindin 2,Protein Coding,P22676,52,GC16P071358,29.98917198,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB2
COPA,COPI Coat Complex Subunit Alpha,Protein Coding,P53621,55,GC01M160288,29.96421242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPA
HIKESHI,Heat Shock Protein Nuclear Import Factor Hikeshi,Protein Coding,Q53FT3,48,GC11P095630,29.92963028,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIKESHI
CRTC3,CREB Regulated Transcription Coactivator 3,Protein Coding,Q6UUV7,49,GC15P090529,29.90843201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC3
LPAR1,Lysophosphatidic Acid Receptor 1,Protein Coding,Q92633,59,GC09M110873,29.88320351,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPAR1
OPCML,Opioid Binding Protein/Cell Adhesion Molecule Like,Protein Coding,Q14982,54,GC11M132414,29.87561798,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPCML
KHSRP,KH-Type Splicing Regulatory Protein,Protein Coding,Q92945,50,GC19M006413,29.86514664,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHSRP
ALDH6A1,Aldehyde Dehydrogenase 6 Family Member A1,Protein Coding,Q02252,58,GC14M074117,29.82204056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH6A1
ADCY3,Adenylate Cyclase 3,Protein Coding,O60266,60,GC02M024819,29.80431747,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY3
RGR,Retinal G Protein Coupled Receptor,Protein Coding,P47804,54,GC10P112514,29.78173065,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGR
MSMB,Microseminoprotein Beta,Protein Coding,P08118,52,GC10M046033,29.77767372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSMB
FABP4,Fatty Acid Binding Protein 4,Protein Coding,P15090,55,GC08M081478,29.7460289,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP4
CNOT2,CCR4-NOT Transcription Complex Subunit 2,Protein Coding,Q9NZN8,51,GC12P070496,29.73677063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT2
CYP51A1,Cytochrome P450 Family 51 Subfamily A Member 1,Protein Coding,Q16850,55,GC07M092112,29.71504211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP51A1
CAND1,Cullin Associated And Neddylation Dissociated 1,Protein Coding,Q86VP6,51,GC12P067282,29.71130753,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAND1
EIF4A2,Eukaryotic Translation Initiation Factor 4A2,Protein Coding,Q14240,57,GC03P186783,29.70474052,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A2
ELF3,E74 Like ETS Transcription Factor 3,Protein Coding,P78545,51,GC01P202007,29.68176651,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELF3
RING1,Ring Finger Protein 1,Protein Coding,Q06587,54,GC06P033208,29.6334362,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RING1
CREB3,CAMP Responsive Element Binding Protein 3,Protein Coding,O43889,47,GC09P058590,29.607687,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB3
PSME1,Proteasome Activator Subunit 1,Protein Coding,Q06323,47,GC14P024136,29.53546906,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME1
RCC2,Regulator Of Chromosome Condensation 2,Protein Coding,Q9P258,47,GC01M017406,29.5128212,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCC2
YWHAH,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Eta,Protein Coding,Q04917,57,GC22P031944,29.51111221,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAH
RPA2,Replication Protein A2,Protein Coding,P15927,56,GC01M031807,29.48362923,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA2
PEG3,Paternally Expressed 3,Protein Coding,Q9GZU2,47,GC19M056810,29.46785355,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEG3
PEBP1,Phosphatidylethanolamine Binding Protein 1,Protein Coding,P30086,58,GC12P118158,29.46002579,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEBP1
WNT2,Wnt Family Member 2,Protein Coding,P09544,58,GC07M117352,29.45400429,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT2
NCKAP1,NCK Associated Protein 1,Protein Coding,Q9Y2A7,53,GC02M182909,29.45073509,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCKAP1
DNAJA1,DnaJ Heat Shock Protein Family (Hsp40) Member A1,Protein Coding,P31689,51,GC09P033025,29.44844818,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJA1
GABRA6,Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha6,Protein Coding,Q16445,58,GC05P161547,29.40987396,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA6
NPC1L1,NPC1 Like Intracellular Cholesterol Transporter 1,Protein Coding,Q9UHC9,57,GC07M044512,29.40175438,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1L1
CLPX,Caseinolytic Mitochondrial Matrix Peptidase Chaperone Subunit X,Protein Coding,O76031,53,GC15M065148,29.39736557,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPX
PSME2,Proteasome Activator Subunit 2,Protein Coding,Q9UL46,48,GC14M024143,29.39287758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME2
POLR2B,RNA Polymerase II Subunit B,Protein Coding,P30876,52,GC04P056977,29.37089348,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2B
UGP2,UDP-Glucose Pyrophosphorylase 2,Protein Coding,Q16851,56,GC02P063840,29.31690979,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGP2
PPP1R3C,Protein Phosphatase 1 Regulatory Subunit 3C,Protein Coding,Q9UQK1,51,GC10M091628,29.25957108,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3C
DUSP19,Dual Specificity Phosphatase 19,Protein Coding,Q8WTR2,49,GC02P183078,29.20067596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP19
OPN4,Opsin 4,Protein Coding,Q9UHM6,51,GC10P086654,29.13463211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPN4
ST8SIA2,"ST8 Alpha-N-Acetyl-Neuraminide Alpha-2,8-Sialyltransferase 2",Protein Coding,Q92186,54,GC15P092393,29.1255722,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST8SIA2
FOSL2,"FOS Like 2, AP-1 Transcription Factor Subunit",Protein Coding,P15408,55,GC02P028392,29.09286499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL2
FBXL3,F-Box And Leucine Rich Repeat Protein 3,Protein Coding,Q9UKT7,50,GC13M076992,29.0694313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL3
PPP5C,Protein Phosphatase 5 Catalytic Subunit,Protein Coding,P53041,56,GC19P123281,28.96522522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP5C
SART1,"Spliceosome Associated Factor 1, Recruiter Of U4/U6.U5 Tri-SnRNP",Protein Coding,O43290,48,GC11P094675,28.90709686,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SART1
MASP2,MBL Associated Serine Protease 2,Protein Coding,O00187,59,GC01M015332,28.87430573,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MASP2
VIPR2,Vasoactive Intestinal Peptide Receptor 2,Protein Coding,P41587,56,GC07M159028,28.7945919,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR2
CELF2,CUGBP Elav-Like Family Member 2,Protein Coding,O95319,56,GC10P010462,28.79455566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF2
APLN,Apelin,Protein Coding,Q9ULZ1,50,GC0XM129645,28.7830162,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLN
NCOA4,Nuclear Receptor Coactivator 4,Protein Coding,Q13772,50,GC10M046005,28.72321129,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA4
TMSB4X,Thymosin Beta 4 X-Linked,Protein Coding,P62328,54,GC0XP012975,28.66399956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB4X
BTNL2,Butyrophilin Like 2,Protein Coding,Q9UIR0,52,GC06M032393,28.65843582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2
CS,Citrate Synthase,Protein Coding,O75390,58,GC12M056271,28.64304733,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS
SEMA4A,Semaphorin 4A,Protein Coding,Q9H3S1,56,GC01P156147,28.62743568,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4A
ENPP2,Ectonucleotide Pyrophosphatase/Phosphodiesterase 2,Protein Coding,Q13822,57,GC08M119556,28.51245499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2
PTGFR,Prostaglandin F Receptor,Protein Coding,P43088,56,GC01P078303,28.46367264,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGFR
PSMD11,"Proteasome 26S Subunit, Non-ATPase 11",Protein Coding,O00231,50,GC17P032444,28.46292114,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD11
MAP2K7,Mitogen-Activated Protein Kinase Kinase 7,Protein Coding,O14733,56,GC19P007903,28.45772171,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K7
KLF9,KLF Transcription Factor 9,Protein Coding,Q13886,45,GC09M070384,28.39726448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF9
PTPRT,Protein Tyrosine Phosphatase Receptor Type T,Protein Coding,O14522,54,GC20M042278,28.36123657,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRT
ST3GAL4,"ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 4",Protein Coding,Q11206,55,GC11P126355,28.33017349,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST3GAL4
CXCL5,C-X-C Motif Chemokine Ligand 5,Protein Coding,P42830,52,GC04M073995,28.32704544,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5
UBR5,Ubiquitin Protein Ligase E3 Component N-Recognin 5,Protein Coding,O95071,53,GC08M102252,28.25589752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR5
IRF2BP2,Interferon Regulatory Factor 2 Binding Protein 2,Protein Coding,Q7Z5L9,48,GC01M234604,28.2113266,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF2BP2
SULT1A1,Sulfotransferase Family 1A Member 1,Protein Coding,P50225,55,GC16M044696,28.20791435,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A1
OPRD1,Opioid Receptor Delta 1,Protein Coding,P41143,55,GC01P028812,28.20646477,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRD1
MAGED1,MAGE Family Member D1,Protein Coding,Q9Y5V3,52,GC0XP051803,28.20324326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGED1
POLB,DNA Polymerase Beta,Protein Coding,P06746,58,GC08P042338,28.1607914,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLB
MAP4,Microtubule Associated Protein 4,Protein Coding,P27816,53,GC03M047850,28.14795303,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4
EPC2,Enhancer Of Polycomb Homolog 2,Protein Coding,Q52LR7,45,GC02P148644,28.0784893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPC2
RBM4,RNA Binding Motif Protein 4,Protein Coding,Q9BWF3,45,GC11P066638,28.07433891,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM4
SEM1,SEM1 26S Proteasome Subunit,Protein Coding,P60896,46,GC07M096483,28.03521729,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEM1
NPAS3,Neuronal PAS Domain Protein 3,Protein Coding,Q8IXF0,52,GC14P032934,28.02790833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPAS3
OPRL1,Opioid Related Nociceptin Receptor 1,Protein Coding,P41146,55,GC20P064080,27.98404503,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRL1
SSBP1,Single Stranded DNA Binding Protein 1,Protein Coding,Q04837,53,GC07P161096,27.93741989,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSBP1
SLC26A5,Solute Carrier Family 26 Member 5,Protein Coding,P58743,54,GC07M103352,27.93655014,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A5
ALAS1,5'-Aminolevulinate Synthase 1,Protein Coding,P13196,56,GC03P052198,27.92979813,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS1
LIPG,"Lipase G, Endothelial Type",Protein Coding,Q9Y5X9,55,GC18P049560,27.84857368,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG
RPS6KA5,Ribosomal Protein S6 Kinase A5,Protein Coding,O75582,59,GC14M090847,27.84527206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA5
NFE2L1,NFE2 Like BZIP Transcription Factor 1,Protein Coding,Q14494,54,GC17P123278,27.82456207,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L1
KDM2A,Lysine Demethylase 2A,Protein Coding,Q9Y2K7,54,GC11P067119,27.81009293,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM2A
EIF3E,Eukaryotic Translation Initiation Factor 3 Subunit E,Protein Coding,P60228,51,GC08M108163,27.79703522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3E
GRM8,Glutamate Metabotropic Receptor 8,Protein Coding,O00222,58,GC07M126438,27.79353523,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM8
BAZ1A,Bromodomain Adjacent To Zinc Finger Domain 1A,Protein Coding,Q9NRL2,53,GC14M034752,27.79340553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAZ1A
NCOA6,Nuclear Receptor Coactivator 6,Protein Coding,Q14686,51,GC20M035891,27.78774643,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA6
KLF15,KLF Transcription Factor 15,Protein Coding,Q9UIH9,51,GC03M126293,27.78766441,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF15
RAPGEF3,Rap Guanine Nucleotide Exchange Factor 3,Protein Coding,O95398,56,GC12M047736,27.76663971,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF3
NXN,Nucleoredoxin,Protein Coding,Q6DKJ4,52,GC17M000799,27.7384758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXN
PSMB1,Proteasome 20S Subunit Beta 1,Protein Coding,P20618,56,GC06M170535,27.70853996,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB1
CSMD1,CUB And Sushi Multiple Domains 1,Protein Coding,Q96PZ7,50,GC08M002953,27.70135117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSMD1
CTBP2,C-Terminal Binding Protein 2,Protein Coding,P56545,55,GC10M124984,27.70114899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP2
TPT1,"Tumor Protein, Translationally-Controlled 1",Protein Coding,P13693,60,GC13M045333,27.67916107,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPT1
COP1,COP1 E3 Ubiquitin Ligase,Protein Coding,Q8NHY2,53,GC01M175944,27.60245895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COP1
PSMA4,Proteasome 20S Subunit Alpha 4,Protein Coding,P25789,55,GC15P078540,27.58045197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA4
BNIP3,BCL2 Interacting Protein 3,Protein Coding,Q12983,52,GC10M131966,27.56765556,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3
BAG6,BAG Cochaperone 6,Protein Coding,P46379,50,GC06M031639,27.54845619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG6
SSB,Small RNA Binding Exonuclease Protection Factor La,Protein Coding,P05455,54,GC02P169791,27.54699707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSB
INTS1,Integrator Complex Subunit 1,Protein Coding,Q8N201,48,GC07M001470,27.54142761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS1
PTPRN,Protein Tyrosine Phosphatase Receptor Type N,Protein Coding,Q16849,57,GC02M219289,27.52847099,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRN
PDE6C,Phosphodiesterase 6C,Protein Coding,P51160,56,GC10P093612,27.51383972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6C
ORMDL3,ORMDL Sphingolipid Biosynthesis Regulator 3,Protein Coding,Q8N138,49,GC17M039921,27.513731,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORMDL3
AMBRA1,Autophagy And Beclin 1 Regulator 1,Protein Coding,Q9C0C7,50,GC11M128592,27.50012398,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMBRA1
SPDEF,SAM Pointed Domain Containing ETS Transcription Factor,Protein Coding,O95238,51,GC06M097245,27.48852158,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPDEF
ADRA1B,Adrenoceptor Alpha 1B,Protein Coding,P35368,58,GC05P159867,27.47961235,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1B
ALDH9A1,Aldehyde Dehydrogenase 9 Family Member A1,Protein Coding,P49189,54,GC01M165689,27.44161224,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH9A1
SMC2,Structural Maintenance Of Chromosomes 2,Protein Coding,O95347,45,GC09P104088,27.43171501,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC2
ACLY,ATP Citrate Lyase,Protein Coding,P53396,60,GC17M041866,27.41745567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY
RARRES2,Retinoic Acid Receptor Responder 2,Protein Coding,Q99969,52,GC07M150333,27.39635086,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2
URGCP,Upregulator Of Cell Proliferation,Protein Coding,Q8TCY9,44,GC07M043876,27.38328552,https://www.genecards.org/cgi-bin/carddisp.pl?gene=URGCP
RCVRN,Recoverin,Protein Coding,P35243,52,GC17M009896,27.38004875,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCVRN
H2BC11,H2B Clustered Histone 11,Protein Coding,P06899,48,GC06M096623,27.36534119,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC11
NEUROG1,Neurogenin 1,Protein Coding,Q92886,50,GC05M135534,27.30033493,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROG1
TCP1,T-Complex 1,Protein Coding,P17987,52,GC06M159778,27.12497711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCP1
PTGER3,Prostaglandin E Receptor 3,Protein Coding,P43115,58,GC01M070852,27.05468559,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER3
NQO2,N-Ribosyldihydronicotinamide:Quinone Dehydrogenase 2,Protein Coding,P16083,58,GC06P006987,27.04218292,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO2
MT2A,Metallothionein 2A,Protein Coding,P02795,54,GC16P097326,26.99946594,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT2A
MEF2D,Myocyte Enhancer Factor 2D,Protein Coding,Q14814,56,GC01M156463,26.95106697,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2D
BRWD1,Bromodomain And WD Repeat Domain Containing 1,Protein Coding,Q9NSI6,52,GC21M039184,26.94650269,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRWD1
PPP2R3C,Protein Phosphatase 2 Regulatory Subunit B''Gamma,Protein Coding,Q969Q6,51,GC14M035085,26.90928268,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R3C
LEMD2,LEM Domain Nuclear Envelope Protein 2,Protein Coding,Q8NC56,50,GC06M097234,26.84667015,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEMD2
CCT2,Chaperonin Containing TCP1 Subunit 2,Protein Coding,P78371,52,GC12P069585,26.81168938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT2
CARS1,Cysteinyl-TRNA Synthetase 1,Protein Coding,P49589,54,GC11M003000,26.80463219,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARS1
PROK1,Prokineticin 1,Protein Coding,P58294,47,GC01P110451,26.77613831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1
H2BC15,H2B Clustered Histone 15,Protein Coding,Q99877,45,GC06P144618,26.75276947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC15
BICC1,BicC Family RNA Binding Protein 1,Protein Coding,Q9H694,47,GC10P058513,26.71847916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BICC1
PRPF4,Pre-MRNA Splicing Tri-SnRNP Complex Factor PRPF4,Protein Coding,O43172,54,GC09P113275,26.7125206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF4
CHGB,Chromogranin B,Protein Coding,P05060,55,GC20P005911,26.70711899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGB
BOK,BCL2 Family Apoptosis Regulator BOK,Protein Coding,Q9UMX3,51,GC02P241713,26.70096588,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOK
DDX21,DExD-Box Helicase 21,Protein Coding,Q9NR30,52,GC10P068956,26.69414711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX21
PCSK2,Proprotein Convertase Subtilisin/Kexin Type 2,Protein Coding,P16519,56,GC20P017226,26.69103241,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK2
CAPZB,Capping Actin Protein Of Muscle Z-Line Subunit Beta,Protein Coding,P47756,48,GC01M019431,26.68897057,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZB
INTS3,Integrator Complex Subunit 3,Protein Coding,Q68E01,48,GC01P153728,26.67539024,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS3
TRIB1,Tribbles Pseudokinase 1,Protein Coding,Q96RU8,45,GC08P125430,26.6219902,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB1
MAP1LC3A,Microtubule Associated Protein 1 Light Chain 3 Alpha,Protein Coding,Q9H492,54,GC20P034546,26.56837845,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3A
HNRNPR,Heterogeneous Nuclear Ribonucleoprotein R,Protein Coding,O43390,53,GC01M023303,26.55915833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPR
TPP2,Tripeptidyl Peptidase 2,Protein Coding,P29144,55,GC13P102596,26.50582504,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPP2
SEC13,"SEC13 Homolog, Nuclear Pore And COPII Coat Complex Component",Protein Coding,P55735,52,GC03M010293,26.44477463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC13
HRH2,Histamine Receptor H2,Protein Coding,P25021,55,GC05P175659,26.44295502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH2
MSRA,Methionine Sulfoxide Reductase A,Protein Coding,Q9UJ68,54,GC08P010054,26.43396378,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRA
PKN1,Protein Kinase N1,Protein Coding,Q16512,60,GC19P014433,26.4100399,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN1
KCNT2,Potassium Sodium-Activated Channel Subfamily T Member 2,Protein Coding,Q6UVM3,52,GC01M196225,26.39877701,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNT2
LMOD1,Leiomodin 1,Protein Coding,P29536,52,GC01M201896,26.37714195,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD1
GNL3,G Protein Nucleolar 3,Protein Coding,Q9BVP2,54,GC03P052681,26.37143326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNL3
MECR,Mitochondrial Trans-2-Enoyl-CoA Reductase,Protein Coding,Q9BV79,55,GC01M029167,26.35385513,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECR
OTX1,Orthodenticle Homeobox 1,Protein Coding,P32242,53,GC02P063050,26.32070541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTX1
GRIN2C,Glutamate Ionotropic Receptor NMDA Type Subunit 2C,Protein Coding,Q14957,58,GC17M074842,26.31979752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2C
LY96,Lymphocyte Antigen 96,Protein Coding,Q9Y6Y9,56,GC08P073991,26.31449127,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY96
EPX,Eosinophil Peroxidase,Protein Coding,P11678,58,GC17P058192,26.27779388,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPX
HDC,Histidine Decarboxylase,Protein Coding,P19113,57,GC15M050241,26.26538849,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDC
EIF3A,Eukaryotic Translation Initiation Factor 3 Subunit A,Protein Coding,Q14152,54,GC10M119034,26.24136162,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3A
AP1B1,Adaptor Related Protein Complex 1 Subunit Beta 1,Protein Coding,Q10567,54,GC22M029327,26.23871231,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1B1
UBE2N,Ubiquitin Conjugating Enzyme E2 N,Protein Coding,P61088,59,GC12M093406,26.21285057,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2N
RPS2,Ribosomal Protein S2,Protein Coding,P15880,51,GC16M025575,26.19963264,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS2
